train_blocks,val_blocks,test_blocks,tau,n_reps,power,power_ci95,mean_learned_gain,mean_k1_success,mean_k0_success,mean_best_single_success,mean_oracle_success,mean_history_increment,frac_seed_stable,frac_converged,passes_power
9,6,9,0.0342,200,0.075,"[0.038495822156909214, 0.11150417784309077]",0.16905555555555551,0.9837777777777778,0.8147222222222221,0.8147222222222221,1.0,0.16905555555555551,0.59,1.0,False
9,6,9,0.03425,200,0.075,"[0.038495822156909214, 0.11150417784309077]",0.16722222222222222,0.9847222222222223,0.8175,0.8175,1.0,0.16722222222222222,0.58,1.0,False
9,6,9,0.0343,200,0.065,"[0.03083325886186978, 0.09916674113813023]",0.16505555555555554,0.9853333333333333,0.8202777777777779,0.8202777777777779,1.0,0.16505555555555554,0.59,1.0,False
12,9,12,0.03425,150,0.05333333333333334,"[0.017374271836907942, 0.08929239482975873]",0.161,0.9873888888888888,0.826388888888889,0.826388888888889,1.0,0.161,0.5266666666666666,1.0,False
12,9,12,0.0343,150,0.05333333333333334,"[0.017374271836907942, 0.08929239482975873]",0.15983333333333336,0.9878888888888889,0.8280555555555557,0.8280555555555557,1.0,0.15983333333333336,0.54,1.0,False
18,9,18,0.03425,150,0.05333333333333334,"[0.017374271836907942, 0.08929239482975873]",0.16566666666666668,0.9915925925925926,0.825925925925926,0.825925925925926,1.0,0.16566666666666668,0.5266666666666666,1.0,False
18,9,18,0.0343,150,0.04,"[0.008640000000000002, 0.07136]",0.1615185185185185,0.9920740740740742,0.8305555555555554,0.8305555555555554,1.0,0.1615185185185185,0.5066666666666667,1.0,False
