model,K,auroc,brier,mean_regret,top1_acc,selected_success_rate
B1_static,0,0.8718487394957983,0.15180329533319137,0.02632942792837425,0.0,1.0
B1_static,1,0.8718487394957983,0.15180329533319137,0.02632942792837425,0.0,1.0
B1_static,2,0.8718487394957983,0.15180329533319137,0.02632942792837425,0.0,1.0
B1_static,3,0.8718487394957983,0.15180329533319137,0.02632942792837425,0.0,1.0
B2_mean,0,0.8718487394957983,0.15180329533319137,0.02632942792837425,0.0,1.0
B2_mean,1,0.9474789915966386,0.10972720801315952,0.02632942792837425,0.0,1.0
B2_mean,2,1.0,0.02138076573907245,0.02114376458192852,0.1111111111111111,1.0
B2_mean,3,1.0,0.022025161943145275,0.02114376458192852,0.1111111111111111,1.0
B2_deepsets,0,1.0,2.0048379834706075e-05,4.5063675773405874e-05,0.8888888888888888,1.0
B2_deepsets,1,0.9096638655462185,0.17443929111157203,0.003936757066510508,0.6666666666666666,1.0
B2_deepsets,2,1.0,1.866849565727822e-05,4.5063675773405874e-05,0.8888888888888888,1.0
B2_deepsets,3,1.0,6.209507946099029e-06,4.5063675773405874e-05,0.8888888888888888,1.0
B2_gru,0,1.0,2.367063016444937e-05,4.5063675773405874e-05,0.8888888888888888,1.0
B2_gru,1,0.9138655462184874,0.18208858454459195,0.0006640594217493708,0.7777777777777778,1.0
B2_gru,2,1.0,3.1213067556456137e-06,4.5063675773405874e-05,0.8888888888888888,1.0
B2_gru,3,1.0,8.973907786206049e-06,4.5063675773405874e-05,0.8888888888888888,1.0
