model,auroc,auprc,brier,calibration_error,failure_macro_f1,task_error_mae,exec_time_mae,mean_regret,median_regret,top1_acc,selected_success_rate,n,n_groups
B0_baserate,0.5,0.6222222222222222,0.23506172839506173,1.1102230246251565e-16,0.3835616438356164,0.06014920172021713,0.470177777777735,0.02632942792837425,0.025085938358288318,0.0,1.0,45,9
B1_static,0.8718487394957983,0.9388294137182646,0.15180329533319137,0.1368842402054596,0.6693046919163369,0.038292074336946355,0.4358664727928185,0.02632942792837425,0.025085938358288318,0.0,1.0,45,9
B2_mean,1.0,0.9999999999999999,0.022025161943145275,0.08840874412936298,0.9766233766233766,0.03156977426171421,0.3779847165813215,0.02114376458192852,0.02438597121236863,0.1111111111111111,1.0,45,9
B2_deepsets,1.0,1.0,6.209507946099029e-06,0.0008393002265088216,1.0,0.001992347859095738,0.029936443954035417,4.5063675773405874e-05,0.0,0.8888888888888888,1.0,45,9
B2_gru,1.0,1.0,8.973907786206049e-06,0.0009676491333774673,1.0,0.001617183699662029,0.019903239365644313,4.5063675773405874e-05,0.0,0.8888888888888888,1.0,45,9
OracleZ,0.9684873949579831,0.9828728563103563,0.071966761623058,0.11257560361324989,0.8545258620689655,0.031339833149581116,0.4354499670611337,0.02114376458192852,0.02438597121236863,0.1111111111111111,1.0,45,9
