model,auroc,auprc,brier,calibration_error,failure_macro_f1,task_error_mae,exec_time_mae,mean_regret,median_regret,top1_acc,selected_success_rate,n,n_groups
B0_baserate,0.5,0.4666666666666667,0.25888888888888895,0.10000000000000014,0.34782608695652173,0.0830903359853643,5.747199999997392,0.4804301108440476,0.019657832789398477,0.3333333333333333,0.6666666666666666,15,3
B1_static,0.5357142857142857,0.6505970220255934,0.2762203691314984,0.20674738408913618,0.55,0.08394623230177126,6.024151743042515,0.5802827351727441,0.3350381665465284,0.3333333333333333,0.6666666666666666,15,3
B2_mean,0.6964285714285714,0.7953823953823953,0.2098412431455772,0.28873129426646665,0.784688995215311,0.07270355951600492,6.029107418712857,0.5802827351727441,0.3350381665465284,0.3333333333333333,0.6666666666666666,15,3
B2_deepsets,0.8928571428571428,0.9340659340659339,0.0762416658324991,0.11464435851833814,0.9321266968325792,0.029838354691926573,4.371159337443086,0.0,0.0,1.0,1.0,15,3
B2_gru,0.8928571428571428,0.9340659340659339,0.06919489364363557,0.0754681999433588,0.9321266968325792,0.026938418876283492,4.164803890872831,0.0,0.0,1.0,1.0,15,3
OracleZ,0.7142857142857142,0.803174603174603,0.21665856966617403,0.3626796573252925,0.7222222222222222,0.07237164301665895,6.029173329952685,0.5802827351727441,0.3350381665465284,0.3333333333333333,0.6666666666666666,15,3
